unit,nationalsecurity,healthcare,education,jobs,crime,immigration,drugaddiction,socialsecurity,terrorism,environment,ranking,treat,issue,quotecondition,issuecondition,pid,ideo,gender,age,race
2370,NA,1,NA,NA,NA,NA,3,NA,NA,NA,-1----3---,0,Health care,No quote,No issue,Strong Democrat,Conservative,Female,55-64,Asian
2371,NA,NA,NA,1,NA,NA,NA,NA,NA,3,---1-----3,0,Jobs,No quote,No issue,Strong Republican,Conservative,Male,25-34,White/Caucasian
2372,NA,NA,NA,3,NA,NA,NA,1,NA,NA,---3---1--,5,Social security,We win,Top issue,Strong Republican,Liberal,Male,35-44,White/Caucasian
2373,NA,NA,NA,1,NA,NA,3,NA,NA,NA,---1--3---,8,Drug addiction,We win,3rd issue,Weak Democrat,Very Conservative,Male,25-34,African American
2374,NA,NA,NA,NA,NA,3,NA,NA,NA,1,-----3---1,0,Environment,No quote,No issue,Independent,Very Conservative,Male,25-34,Native American
2375,NA,NA,NA,1,NA,3,NA,NA,NA,NA,---1-3----,5,Jobs,We win,Top issue,Strong Democrat,Conservative,Male,45-54,African American
2376,NA,NA,NA,1,NA,NA,NA,NA,NA,3,---1-----3,2,Jobs,We win,No issue,Strong Democrat,Liberal,Male,35-44,White/Caucasian
2377,3,NA,NA,NA,NA,NA,NA,NA,NA,1,3--------1,6,National security,No quote,3rd issue,Independent,Moderate,Female,18-24,African American
2378,NA,NA,NA,1,NA,NA,NA,NA,NA,3,---1-----3,7,Environment,They lose,3rd issue,Lean Democrat,Conservative,Male,18-24,White/Caucasian
2379,NA,3,1,NA,NA,NA,NA,NA,NA,NA,-31-------,6,Health care,No quote,3rd issue,Lean Democrat,Moderate,Male,25-34,White/Caucasian
2380,NA,1,NA,NA,NA,NA,NA,NA,NA,3,-1-------3,8,Environment,We win,3rd issue,Strong Democrat,Very Conservative,Male,45-54,White/Caucasian
2381,NA,NA,NA,3,NA,NA,NA,NA,NA,1,---3-----1,0,Environment,No quote,No issue,Lean Republican,Conservative,Female,18-24,White/Caucasian
2382,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1--------3,0,Environment,No quote,No issue,Weak Democrat,Moderate,Male,25-34,White/Caucasian
2383,1,NA,NA,NA,NA,NA,3,NA,NA,NA,1-----3---,8,Drug addiction,We win,3rd issue,Lean Democrat,Moderate,Male,55-64,White/Caucasian
2384,NA,NA,NA,NA,NA,3,NA,1,NA,NA,-----3-1--,8,Immigration,We win,3rd issue,Lean Republican,Moderate,Female,55-64,White/Caucasian
2385,NA,NA,NA,NA,NA,NA,NA,1,3,NA,-------13-,3,Social security,No quote,Top issue,Lean Republican,Moderate,Male,65 or over,White/Caucasian
2386,NA,NA,NA,3,NA,1,NA,NA,NA,NA,---3-1----,8,Jobs,We win,3rd issue,Weak Republican,Conservative,Male,65 or over,White/Caucasian
2387,3,1,NA,NA,NA,NA,NA,NA,NA,NA,31--------,1,Health care,They lose,No issue,Lean Democrat,Moderate,Male,35-44,White/Caucasian
2388,NA,3,NA,1,NA,NA,NA,NA,NA,NA,-3-1------,2,Health care,We win,No issue,Not sure,Not Sure,Male,35-44,White/Caucasian
2389,3,1,NA,NA,NA,NA,NA,NA,NA,NA,31--------,3,Health care,No quote,Top issue,Independent,Moderate,Male,18-24,Hispanic
2390,NA,3,NA,1,NA,NA,NA,NA,NA,NA,-3-1------,5,Jobs,We win,Top issue,Strong Democrat,Very Liberal,Male,25-34,White/Caucasian
2391,NA,NA,NA,1,NA,NA,NA,3,NA,NA,---1---3--,6,Social security,No quote,3rd issue,Lean Democrat,Liberal,Female,18-24,African American
2392,3,1,NA,NA,NA,NA,NA,NA,NA,NA,31--------,6,National security,No quote,3rd issue,Strong Republican,Liberal,Male,25-34,White/Caucasian
2393,NA,NA,3,NA,NA,1,NA,NA,NA,NA,--3--1----,5,Immigration,We win,Top issue,Weak Democrat,Moderate,Male,45-54,White/Caucasian
2394,NA,NA,NA,1,NA,NA,NA,NA,NA,3,---1-----3,7,Environment,They lose,3rd issue,Not sure,Liberal,Male,25-34,African American
2395,NA,NA,NA,1,NA,NA,NA,3,NA,NA,---1---3--,7,Social security,They lose,3rd issue,Strong Democrat,Liberal,Female,35-44,Hispanic
2396,NA,NA,NA,3,NA,1,NA,NA,NA,NA,---3-1----,1,Jobs,They lose,No issue,Independent,Moderate,Male,35-44,Hispanic
2397,NA,1,NA,3,NA,NA,NA,NA,NA,NA,-1-3------,6,Jobs,No quote,3rd issue,Independent,Moderate,Female,55-64,White/Caucasian
2398,NA,NA,3,NA,NA,NA,NA,1,NA,NA,--3----1--,3,Social security,No quote,Top issue,Weak Democrat,Moderate,Male,55-64,White/Caucasian
2399,NA,1,3,NA,NA,NA,NA,NA,NA,NA,-13-------,5,Health care,We win,Top issue,Independent,Moderate,Male,65 or over,White/Caucasian
2400,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,-----1----,0,Immigration,No quote,No issue,Not sure,Moderate,Male,55-64,White/Caucasian
2401,NA,NA,3,NA,NA,1,NA,NA,NA,NA,--3--1----,5,Immigration,We win,Top issue,Strong Republican,Conservative,Male,25-34,White/Caucasian
2402,NA,NA,3,1,NA,NA,NA,NA,NA,NA,--31------,1,Jobs,They lose,No issue,Not sure,Moderate,Male,35-44,Asian
2403,NA,1,NA,NA,NA,NA,NA,NA,NA,3,-1-------3,8,Environment,We win,3rd issue,Strong Democrat,Very Liberal,Male,35-44,White/Caucasian
2404,1,3,NA,NA,NA,NA,NA,NA,NA,NA,13--------,6,Health care,No quote,3rd issue,Independent,Not Sure,Male,35-44,White/Caucasian
2405,1,3,NA,NA,NA,NA,NA,NA,NA,NA,13--------,1,Health care,They lose,No issue,Strong Republican,Very Conservative,Male,35-44,White/Caucasian
2406,NA,NA,3,1,NA,NA,NA,NA,NA,NA,--31------,7,Education,They lose,3rd issue,Strong Democrat,Conservative,Male,45-54,Hispanic
2407,1,NA,NA,NA,NA,3,NA,NA,NA,NA,1----3----,8,Immigration,We win,3rd issue,Strong Republican,Very Conservative,Male,65 or over,White/Caucasian
2408,NA,NA,3,NA,NA,1,NA,NA,NA,NA,--3--1----,3,Immigration,No quote,Top issue,Independent,Not Sure,Female,25-34,African American
2409,NA,NA,3,NA,NA,NA,NA,1,NA,NA,--3----1--,4,Social security,They lose,Top issue,Strong Democrat,Very Liberal,Male,65 or over,White/Caucasian
2410,NA,3,NA,NA,NA,NA,NA,NA,1,NA,-3------1-,1,Health care,They lose,No issue,Weak Democrat,Moderate,Female,35-44,Hispanic
2411,NA,3,NA,NA,NA,NA,NA,NA,1,NA,-3------1-,3,Terrorism,No quote,Top issue,Strong Republican,Conservative,Male,45-54,White/Caucasian
2412,NA,3,NA,1,NA,NA,NA,NA,NA,NA,-3-1------,0,Health care,No quote,No issue,Lean Democrat,Moderate,Female,25-34,African American
2413,NA,1,3,NA,NA,NA,NA,NA,NA,NA,-13-------,5,Health care,We win,Top issue,Lean Democrat,Liberal,Male,35-44,White/Caucasian
2414,NA,NA,NA,NA,NA,3,NA,NA,1,NA,-----3--1-,1,Immigration,They lose,No issue,Strong Republican,Very Conservative,Male,25-34,White/Caucasian
2415,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,---------1,3,Environment,No quote,Top issue,Independent,Moderate,Male,18-24,Hispanic
2416,NA,NA,3,NA,NA,1,NA,NA,NA,NA,--3--1----,4,Immigration,They lose,Top issue,Not sure,Not Sure,Male,25-34,Hispanic
2417,NA,NA,3,NA,NA,1,NA,NA,NA,NA,--3--1----,6,Education,No quote,3rd issue,Independent,Not Sure,Male,25-34,Hispanic
2418,NA,1,3,NA,NA,NA,NA,NA,NA,NA,-13-------,3,Health care,No quote,Top issue,Weak Democrat,Moderate,Female,35-44,Hispanic
2419,NA,1,NA,NA,NA,NA,NA,3,NA,NA,-1-----3--,0,Social security,No quote,No issue,Strong Democrat,Moderate,Female,65 or over,Asian
2420,NA,1,NA,3,NA,NA,NA,NA,NA,NA,-1-3------,4,Health care,They lose,Top issue,Strong Democrat,Very Liberal,Female,45-54,African American
2421,NA,3,NA,NA,NA,NA,NA,1,NA,NA,-3-----1--,1,Health care,They lose,No issue,Strong Democrat,Liberal,Male,55-64,White/Caucasian
2422,NA,NA,NA,NA,NA,1,NA,3,NA,NA,-----1-3--,0,Social security,No quote,No issue,Lean Republican,Moderate,Male,25-34,White/Caucasian
2423,NA,NA,NA,NA,3,NA,NA,1,NA,NA,----3--1--,4,Social security,They lose,Top issue,Lean Democrat,Liberal,Male,35-44,White/Caucasian
2424,NA,NA,NA,NA,3,NA,NA,NA,1,NA,----3---1-,2,Crime,We win,No issue,Not sure,Not Sure,Male,18-24,White/Caucasian
2425,NA,3,NA,1,NA,NA,NA,NA,NA,NA,-3-1------,3,Jobs,No quote,Top issue,Lean Republican,Moderate,Male,55-64,White/Caucasian
2426,1,NA,NA,3,NA,NA,NA,NA,NA,NA,1--3------,4,National security,They lose,Top issue,Independent,Very Conservative,Female,65 or over,White/Caucasian
2427,NA,1,3,NA,NA,NA,NA,NA,NA,NA,-13-------,5,Health care,We win,Top issue,Lean Democrat,Moderate,Male,25-34,White/Caucasian
2428,3,NA,NA,NA,1,NA,NA,NA,NA,NA,3---1-----,7,National security,They lose,3rd issue,Lean Republican,Moderate,Male,45-54,White/Caucasian
2429,3,NA,NA,NA,NA,NA,NA,1,NA,NA,3------1--,6,National security,No quote,3rd issue,Strong Republican,Very Liberal,Male,35-44,White/Caucasian
2430,NA,1,NA,NA,NA,NA,NA,NA,NA,3,-1-------3,5,Health care,We win,Top issue,Strong Democrat,Liberal,Female,45-54,White/Caucasian
2431,NA,3,NA,NA,NA,NA,NA,1,NA,NA,-3-----1--,4,Social security,They lose,Top issue,Weak Republican,Conservative,Male,65 or over,White/Caucasian
2432,1,NA,NA,NA,3,NA,NA,NA,NA,NA,1---3-----,3,National security,No quote,Top issue,Weak Republican,Moderate,Male,55-64,White/Caucasian
2433,NA,NA,3,NA,NA,NA,NA,NA,NA,1,--3------1,2,Education,We win,No issue,Strong Democrat,Very Liberal,Male,65 or over,White/Caucasian
2434,NA,NA,3,1,NA,NA,NA,NA,NA,NA,--31------,1,Education,They lose,No issue,Weak Democrat,Liberal,Female,65 or over,White/Caucasian
2435,1,NA,NA,NA,NA,NA,NA,3,NA,NA,1------3--,8,Social security,We win,3rd issue,Independent,Moderate,Male,65 or over,White/Caucasian
2436,NA,NA,NA,3,NA,NA,NA,NA,NA,1,---3-----1,8,Jobs,We win,3rd issue,Strong Democrat,Very Liberal,Male,35-44,White/Caucasian
2437,1,NA,3,NA,NA,NA,NA,NA,NA,NA,1-3-------,6,Education,No quote,3rd issue,Lean Democrat,Moderate,Male,35-44,Pacific Islander
2438,NA,1,NA,NA,3,NA,NA,NA,NA,NA,-1--3-----,0,Health care,No quote,No issue,Lean Democrat,Liberal,Male,35-44,Other
2439,NA,NA,1,3,NA,NA,NA,NA,NA,NA,--13------,0,Education,No quote,No issue,Not sure,Not Sure,Female,18-24,White/Caucasian
2440,NA,NA,NA,NA,NA,NA,NA,NA,1,3,--------13,8,Environment,We win,3rd issue,Independent,Liberal,Male,25-34,White/Caucasian
2441,NA,1,NA,NA,3,NA,NA,NA,NA,NA,-1--3-----,0,Health care,No quote,No issue,Lean Democrat,Moderate,Male,65 or over,White/Caucasian
2442,1,3,NA,NA,NA,NA,NA,NA,NA,NA,13--------,5,National security,We win,Top issue,Not sure,Conservative,Male,55-64,White/Caucasian
2443,NA,1,3,NA,NA,NA,NA,NA,NA,NA,-13-------,4,Health care,They lose,Top issue,Strong Democrat,Very Liberal,Male,25-34,White/Caucasian
2444,NA,NA,NA,NA,1,NA,3,NA,NA,NA,----1-3---,8,Drug addiction,We win,3rd issue,Strong Democrat,Conservative,Female,35-44,Hispanic
2445,NA,NA,NA,1,NA,NA,NA,NA,NA,3,---1-----3,6,Environment,No quote,3rd issue,Independent,Liberal,Male,35-44,White/Caucasian
2446,NA,NA,NA,NA,3,NA,NA,1,NA,NA,----3--1--,3,Social security,No quote,Top issue,Weak Democrat,Not Sure,Male,65 or over,White/Caucasian
2447,NA,NA,NA,1,3,NA,NA,NA,NA,NA,---13-----,0,Crime,No quote,No issue,Strong Republican,Moderate,Male,25-34,White/Caucasian
2448,NA,NA,1,3,NA,NA,NA,NA,NA,NA,--13------,3,Education,No quote,Top issue,Independent,Moderate,Male,35-44,White/Caucasian
2449,NA,1,NA,NA,NA,NA,3,NA,NA,NA,-1----3---,4,Health care,They lose,Top issue,Weak Republican,Conservative,Male,55-64,White/Caucasian
2450,NA,3,NA,NA,NA,1,NA,NA,NA,NA,-3---1----,0,Immigration,No quote,No issue,Strong Republican,Very Liberal,Male,25-34,Hispanic
2451,3,NA,1,NA,NA,NA,NA,NA,NA,NA,3-1-------,1,Education,They lose,No issue,Independent,Moderate,Male,18-24,White/Caucasian
2452,NA,NA,NA,NA,1,NA,NA,NA,3,NA,----1---3-,1,Crime,They lose,No issue,Independent,Liberal,Male,35-44,African American
2453,NA,1,3,NA,NA,NA,NA,NA,NA,NA,-13-------,1,Health care,They lose,No issue,Strong Republican,Very Conservative,Male,25-34,White/Caucasian
2454,1,NA,NA,NA,NA,NA,NA,NA,3,NA,1-------3-,7,Terrorism,They lose,3rd issue,Strong Republican,Very Conservative,Male,35-44,White/Caucasian
2455,NA,NA,3,NA,NA,NA,NA,NA,NA,1,--3------1,7,Education,They lose,3rd issue,Strong Democrat,Very Liberal,Male,65 or over,White/Caucasian
2456,1,NA,NA,3,NA,NA,NA,NA,NA,NA,1--3------,7,Jobs,They lose,3rd issue,Independent,Moderate,Male,45-54,White/Caucasian
2457,1,3,NA,NA,NA,NA,NA,NA,NA,NA,13--------,0,National security,No quote,No issue,Independent,Conservative,Female,55-64,White/Caucasian
2458,NA,NA,NA,NA,NA,3,NA,1,NA,NA,-----3-1--,2,Immigration,We win,No issue,Strong Republican,Very Conservative,Male,45-54,White/Caucasian
2459,1,NA,3,NA,NA,NA,NA,NA,NA,NA,1-3-------,7,Education,They lose,3rd issue,Strong Republican,Very Conservative,Female,65 or over,White/Caucasian
2460,NA,NA,NA,NA,NA,NA,NA,1,NA,3,-------1-3,5,Social security,We win,Top issue,Strong Democrat,Moderate,Male,45-54,White/Caucasian
2461,NA,NA,NA,1,NA,3,NA,NA,NA,NA,---1-3----,6,Immigration,No quote,3rd issue,Weak Republican,Moderate,Male,25-34,Native American
2462,NA,NA,NA,NA,1,NA,NA,NA,3,NA,----1---3-,2,Crime,We win,No issue,Not sure,Moderate,Male,18-24,African American
2463,NA,3,NA,1,NA,NA,NA,NA,NA,NA,-3-1------,7,Health care,They lose,3rd issue,Weak Democrat,Conservative,Male,35-44,White/Caucasian
2464,NA,NA,NA,NA,NA,1,NA,NA,3,NA,-----1--3-,0,Immigration,No quote,No issue,Strong Republican,Conservative,Male,55-64,Hispanic
2465,NA,NA,NA,1,NA,NA,NA,NA,3,NA,---1----3-,5,Jobs,We win,Top issue,Strong Democrat,Very Liberal,Male,55-64,White/Caucasian
2466,NA,NA,NA,NA,NA,3,NA,NA,NA,1,-----3---1,1,Immigration,They lose,No issue,Strong Democrat,Moderate,Male,55-64,White/Caucasian
2467,NA,1,NA,NA,NA,NA,NA,NA,NA,3,-1-------3,3,Health care,No quote,Top issue,Lean Democrat,Conservative,Male,18-24,Hispanic
2468,1,NA,NA,NA,3,NA,NA,NA,NA,NA,1---3-----,3,National security,No quote,Top issue,Lean Republican,Moderate,Male,25-34,White/Caucasian
2469,3,NA,NA,1,NA,NA,NA,NA,NA,NA,3--1------,7,National security,They lose,3rd issue,Weak Republican,Moderate,Male,35-44,White/Caucasian
2470,NA,NA,NA,1,3,NA,NA,NA,NA,NA,---13-----,7,Crime,They lose,3rd issue,Weak Democrat,Moderate,Male,45-54,Hispanic
2471,1,3,NA,NA,NA,NA,NA,NA,NA,NA,13--------,7,Health care,They lose,3rd issue,Not sure,Not Sure,Male,18-24,White/Caucasian
2472,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1---------,5,National security,We win,Top issue,Independent,Very Conservative,Female,55-64,White/Caucasian
2473,NA,3,NA,1,NA,NA,NA,NA,NA,NA,-3-1------,4,Jobs,They lose,Top issue,Strong Republican,Very Liberal,Male,45-54,White/Caucasian
2474,NA,NA,NA,NA,NA,1,NA,3,NA,NA,-----1-3--,7,Social security,They lose,3rd issue,Strong Republican,Conservative,Male,55-64,White/Caucasian
2475,NA,NA,NA,1,NA,NA,NA,3,NA,NA,---1---3--,4,Jobs,They lose,Top issue,Lean Democrat,Conservative,Male,45-54,African American
2476,NA,NA,NA,1,NA,NA,NA,NA,NA,3,---1-----3,8,Environment,We win,3rd issue,Lean Democrat,Liberal,Female,35-44,White/Caucasian
2477,3,NA,NA,NA,NA,NA,1,NA,NA,NA,3-----1---,1,National security,They lose,No issue,Weak Republican,Conservative,Male,65 or over,White/Caucasian
2478,NA,NA,NA,NA,NA,NA,NA,3,NA,1,-------3-1,5,Environment,We win,Top issue,Strong Democrat,Very Liberal,Female,65 or over,White/Caucasian
2479,NA,NA,NA,NA,3,NA,NA,NA,1,NA,----3---1-,7,Crime,They lose,3rd issue,Strong Republican,Very Conservative,Male,45-54,White/Caucasian
2480,NA,1,NA,3,NA,NA,NA,NA,NA,NA,-1-3------,4,Health care,They lose,Top issue,Independent,Not Sure,Male,35-44,African American
2481,1,NA,3,NA,NA,NA,NA,NA,NA,NA,1-3-------,2,Education,We win,No issue,Weak Republican,Moderate,Male,45-54,White/Caucasian
2482,NA,NA,NA,3,NA,1,NA,NA,NA,NA,---3-1----,0,Immigration,No quote,No issue,Strong Republican,Very Conservative,Male,18-24,White/Caucasian
2483,NA,NA,NA,NA,NA,NA,1,3,NA,NA,------13--,0,Social security,No quote,No issue,Strong Democrat,Very Liberal,Other,35-44,Other
2484,NA,3,NA,NA,NA,NA,NA,NA,NA,1,-3-------1,6,Health care,No quote,3rd issue,Weak Democrat,Liberal,Female,18-24,White/Caucasian
2485,1,NA,NA,NA,NA,3,NA,NA,NA,NA,1----3----,1,National security,They lose,No issue,Strong Republican,Very Conservative,Female,65 or over,White/Caucasian
2486,NA,NA,NA,NA,3,NA,NA,1,NA,NA,----3--1--,7,Crime,They lose,3rd issue,Strong Republican,Very Conservative,Female,55-64,White/Caucasian
2487,NA,NA,NA,NA,3,NA,1,NA,NA,NA,----3-1---,8,Crime,We win,3rd issue,Strong Republican,Very Conservative,Male,65 or over,White/Caucasian
2488,NA,NA,3,NA,NA,NA,1,NA,NA,NA,--3---1---,2,Drug addiction,We win,No issue,Independent,Moderate,Male,35-44,White/Caucasian
2489,1,NA,NA,NA,NA,3,NA,NA,NA,NA,1----3----,7,Immigration,They lose,3rd issue,Weak Democrat,Liberal,Male,35-44,White/Caucasian
2490,NA,3,NA,NA,NA,NA,NA,NA,NA,1,-3-------1,4,Environment,They lose,Top issue,Strong Democrat,Liberal,Male,25-34,White/Caucasian
2491,NA,NA,NA,NA,NA,NA,1,NA,3,NA,------1-3-,2,Terrorism,We win,No issue,Lean Republican,Moderate,Male,18-24,Hispanic
2492,3,1,NA,NA,NA,NA,NA,NA,NA,NA,31--------,5,Health care,We win,Top issue,Strong Democrat,Conservative,Male,25-34,Other
2493,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1--------3,0,National security,No quote,No issue,Strong Republican,Moderate,Male,25-34,Other
2494,NA,NA,NA,3,NA,1,NA,NA,NA,NA,---3-1----,7,Jobs,They lose,3rd issue,Independent,Liberal,Female,55-64,White/Caucasian
2495,1,3,NA,NA,NA,NA,NA,NA,NA,NA,13--------,0,Health care,No quote,No issue,Independent,Conservative,Male,45-54,White/Caucasian
2496,NA,NA,NA,NA,NA,3,NA,1,NA,NA,-----3-1--,0,Immigration,No quote,No issue,Strong Democrat,Conservative,Female,65 or over,African American
2497,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,--1-------,4,Education,They lose,Top issue,Lean Republican,Conservative,Male,55-64,African American
2498,NA,NA,NA,NA,NA,NA,3,1,NA,NA,------31--,2,Drug addiction,We win,No issue,Independent,Not Sure,Female,45-54,White/Caucasian
2499,1,NA,NA,NA,3,NA,NA,NA,NA,NA,1---3-----,8,Crime,We win,3rd issue,Weak Democrat,Moderate,Female,55-64,African American
2500,NA,3,NA,1,NA,NA,NA,NA,NA,NA,-3-1------,8,Health care,We win,3rd issue,Weak Republican,Moderate,Male,18-24,White/Caucasian
2501,NA,NA,NA,NA,NA,NA,NA,1,NA,3,-------1-3,6,Environment,No quote,3rd issue,Strong Democrat,Moderate,Male,55-64,White/Caucasian
2502,3,NA,NA,1,NA,NA,NA,NA,NA,NA,3--1------,6,National security,No quote,3rd issue,Strong Democrat,Liberal,Male,35-44,White/Caucasian
2503,1,NA,NA,3,NA,NA,NA,NA,NA,NA,1--3------,0,National security,No quote,No issue,Lean Republican,Conservative,Male,55-64,White/Caucasian
2504,NA,NA,NA,3,NA,NA,1,NA,NA,NA,---3--1---,0,Drug addiction,No quote,No issue,Weak Republican,Conservative,Male,25-34,White/Caucasian
2505,NA,NA,NA,NA,3,NA,NA,NA,NA,1,----3----1,1,Environment,They lose,No issue,Independent,Moderate,Male,35-44,African American
2506,NA,NA,3,NA,NA,NA,NA,NA,NA,1,--3------1,3,Environment,No quote,Top issue,Strong Democrat,Liberal,Male,25-34,African American
2507,NA,NA,NA,NA,NA,1,NA,NA,3,NA,-----1--3-,3,Immigration,No quote,Top issue,Lean Republican,Conservative,Male,65 or over,White/Caucasian
2508,NA,NA,NA,NA,NA,NA,NA,1,NA,3,-------1-3,8,Environment,We win,3rd issue,Strong Democrat,Liberal,Male,25-34,Asian
2509,NA,3,NA,1,NA,NA,NA,NA,NA,NA,-3-1------,0,Jobs,No quote,No issue,Independent,Moderate,Male,18-24,White/Caucasian
2510,NA,NA,NA,1,NA,3,NA,NA,NA,NA,---1-3----,7,Immigration,They lose,3rd issue,Strong Republican,Very Conservative,Male,45-54,White/Caucasian
2511,NA,1,NA,3,NA,NA,NA,NA,NA,NA,-1-3------,6,Jobs,No quote,3rd issue,Lean Republican,Moderate,Female,45-54,White/Caucasian
2512,NA,NA,NA,3,NA,1,NA,NA,NA,NA,---3-1----,1,Jobs,They lose,No issue,Strong Republican,Conservative,Male,25-34,White/Caucasian
2513,NA,1,NA,NA,NA,3,NA,NA,NA,NA,-1---3----,2,Health care,We win,No issue,Strong Democrat,Conservative,Male,25-34,White/Caucasian
2514,NA,1,NA,NA,3,NA,NA,NA,NA,NA,-1--3-----,8,Crime,We win,3rd issue,Lean Republican,Not Sure,Female,65 or over,White/Caucasian
2515,3,NA,NA,1,NA,NA,NA,NA,NA,NA,3--1------,1,National security,They lose,No issue,Independent,Conservative,Male,45-54,White/Caucasian
2516,NA,NA,NA,1,NA,NA,NA,3,NA,NA,---1---3--,0,Social security,No quote,No issue,Lean Democrat,Liberal,Female,45-54,Hispanic
2517,NA,NA,NA,NA,1,NA,NA,NA,NA,3,----1----3,3,Crime,No quote,Top issue,Strong Democrat,Moderate,Male,35-44,African American
2518,1,NA,NA,3,NA,NA,NA,NA,NA,NA,1--3------,6,Jobs,No quote,3rd issue,Independent,Conservative,Male,45-54,White/Caucasian
2519,1,NA,NA,NA,NA,NA,NA,NA,3,NA,1-------3-,3,National security,No quote,Top issue,Strong Republican,Conservative,Male,55-64,White/Caucasian
2520,NA,3,NA,NA,NA,1,NA,NA,NA,NA,-3---1----,6,Health care,No quote,3rd issue,Strong Democrat,Very Conservative,Male,18-24,White/Caucasian
2521,1,NA,NA,3,NA,NA,NA,NA,NA,NA,1--3------,5,National security,We win,Top issue,Independent,Very Conservative,Male,55-64,White/Caucasian
2522,NA,NA,1,3,NA,NA,NA,NA,NA,NA,--13------,2,Education,We win,No issue,Lean Democrat,Liberal,Male,35-44,African American
2523,NA,NA,NA,NA,NA,NA,3,1,NA,NA,------31--,6,Drug addiction,No quote,3rd issue,Strong Republican,Very Conservative,Male,25-34,White/Caucasian
2524,1,3,NA,NA,NA,NA,NA,NA,NA,NA,13--------,4,National security,They lose,Top issue,Weak Republican,Conservative,Male,55-64,White/Caucasian
2525,3,NA,1,NA,NA,NA,NA,NA,NA,NA,3-1-------,3,Education,No quote,Top issue,Strong Democrat,Very Liberal,Male,35-44,White/Caucasian
2526,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1--------3,8,Environment,We win,3rd issue,Independent,Moderate,Male,18-24,White/Caucasian
2527,3,NA,1,NA,NA,NA,NA,NA,NA,NA,3-1-------,2,National security,We win,No issue,Independent,Not Sure,Female,18-24,African American
2528,NA,NA,NA,NA,1,NA,NA,NA,NA,3,----1----3,7,Environment,They lose,3rd issue,Strong Republican,Not Sure,Male,45-54,White/Caucasian
2529,3,1,NA,NA,NA,NA,NA,NA,NA,NA,31--------,4,Health care,They lose,Top issue,Strong Democrat,Very Conservative,Male,35-44,African American
2530,1,NA,NA,NA,NA,NA,NA,NA,3,NA,1-------3-,4,National security,They lose,Top issue,Strong Republican,Very Conservative,Male,45-54,Hispanic
2531,NA,NA,NA,1,NA,NA,NA,NA,NA,3,---1-----3,2,Environment,We win,No issue,Independent,Moderate,Male,45-54,White/Caucasian
2532,NA,3,NA,NA,NA,NA,NA,1,NA,NA,-3-----1--,4,Social security,They lose,Top issue,Strong Democrat,Liberal,Female,65 or over,White/Caucasian
2533,1,NA,NA,NA,NA,NA,NA,NA,3,NA,1-------3-,1,Terrorism,They lose,No issue,Independent,Not Sure,Male,55-64,White/Caucasian
2534,3,1,NA,NA,NA,NA,NA,NA,NA,NA,31--------,5,Health care,We win,Top issue,Strong Republican,Moderate,Female,65 or over,White/Caucasian
2535,1,NA,NA,NA,NA,NA,NA,3,NA,NA,1------3--,1,National security,They lose,No issue,Lean Republican,Conservative,Male,45-54,White/Caucasian
2536,NA,NA,3,1,NA,NA,NA,NA,NA,NA,--31------,1,Jobs,They lose,No issue,Lean Republican,Conservative,Male,25-34,White/Caucasian
2537,NA,NA,NA,NA,NA,NA,1,NA,3,NA,------1-3-,7,Terrorism,They lose,3rd issue,Weak Republican,Moderate,Male,25-34,White/Caucasian
2538,NA,3,NA,1,NA,NA,NA,NA,NA,NA,-3-1------,3,Jobs,No quote,Top issue,Strong Democrat,Moderate,Male,55-64,African American
2539,1,NA,NA,NA,3,NA,NA,NA,NA,NA,1---3-----,6,Crime,No quote,3rd issue,Independent,Moderate,Male,45-54,White/Caucasian
2540,NA,NA,NA,NA,3,1,NA,NA,NA,NA,----31----,4,Immigration,They lose,Top issue,Strong Republican,Conservative,Male,45-54,White/Caucasian
2541,NA,1,NA,NA,3,NA,NA,NA,NA,NA,-1--3-----,2,Crime,We win,No issue,Strong Democrat,Liberal,Male,55-64,White/Caucasian
2542,NA,NA,3,NA,1,NA,NA,NA,NA,NA,--3-1-----,4,Crime,They lose,Top issue,Independent,Moderate,Male,25-34,African American
2543,NA,NA,NA,NA,NA,NA,NA,1,NA,3,-------1-3,5,Social security,We win,Top issue,Strong Republican,Very Conservative,Male,45-54,White/Caucasian
2544,NA,NA,NA,NA,NA,NA,NA,1,NA,3,-------1-3,7,Environment,They lose,3rd issue,Strong Republican,Conservative,Male,45-54,White/Caucasian
2545,3,NA,NA,NA,NA,NA,NA,1,NA,NA,3------1--,5,Social security,We win,Top issue,Strong Republican,Very Conservative,Female,35-44,African American
2546,NA,NA,NA,NA,NA,NA,3,NA,NA,1,------3--1,5,Environment,We win,Top issue,Strong Democrat,Very Liberal,Female,65 or over,White/Caucasian
2547,NA,NA,NA,1,NA,NA,3,NA,NA,NA,---1--3---,7,Drug addiction,They lose,3rd issue,Weak Republican,Liberal,Male,18-24,White/Caucasian
